date,fund_label,scheme_code,scheme_name,nav,source,source_quality
2018-05-11,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.8487,MFAPI,CACHE_FRESH
2018-05-14,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.5074,MFAPI,CACHE_FRESH
2018-05-15,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.2497,MFAPI,CACHE_FRESH
2018-05-16,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.1356,MFAPI,CACHE_FRESH
2018-05-17,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,47.296,MFAPI,CACHE_FRESH
2018-05-18,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.6539,MFAPI,CACHE_FRESH
2018-05-21,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.7511,MFAPI,CACHE_FRESH
2018-05-22,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.2053,MFAPI,CACHE_FRESH
2018-05-23,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.8921,MFAPI,CACHE_FRESH
2018-05-24,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.757,MFAPI,CACHE_FRESH
2018-05-25,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.325,MFAPI,CACHE_FRESH
2018-05-28,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.8319,MFAPI,CACHE_FRESH
2018-05-29,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.6467,MFAPI,CACHE_FRESH
2018-05-30,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.4614,MFAPI,CACHE_FRESH
2018-05-31,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,46.193,MFAPI,CACHE_FRESH
2018-06-01,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.5274,MFAPI,CACHE_FRESH
2018-06-04,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,44.6087,MFAPI,CACHE_FRESH
2018-06-05,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,43.5006,MFAPI,CACHE_FRESH
2018-06-06,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,44.2842,MFAPI,CACHE_FRESH
2018-06-07,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.2648,MFAPI,CACHE_FRESH
